log2FoldChange,pvalue,padj
-0.5982499,0.02696013,0.09465731
0.4807723,0.001738197,0.01295936
0.5131959,0.005443399,0.02995315
0.7310489,0.0004114442,0.004423874
0.5786149,0.01231829,0.05486755
0.604637,0.007118309,0.03664721
0.8874757,0.0001031338,0.001534178
-0.7215214,0.004083008,0.02415618
0.6146919,0.001658793,0.01250228
-0.689844,0.0005616688,0.005614882
-0.8519765,0.000144265,0.001989001
-0.8906946,4.135613e-06,0.000129875
-0.5499033,0.02854686,0.09923171
0.6740213,5.703588e-05,0.0009637204
0.6378326,9.296206e-06,0.0002369009
-0.516321,0.03695605,0.1204381
0.4325382,0.02834409,0.09884662
0.8823011,7.848929e-06,0.0002112755
-0.6949804,0.003423445,0.02133481
-0.5661223,0.02074921,0.07905552
-0.556729,0.0232375,0.08544695
-0.5552512,0.03914148,0.1261045
0.375605,0.01218481,0.05450728
-0.5598097,0.02089842,0.07939419
0.4584202,0.00798146,0.03979849
-0.4802453,0.01936047,0.07566523
-0.4569246,0.03727644,0.1212264
0.6015349,0.004068405,0.02411567
0.3796984,0.03270407,0.1098023
0.3600966,0.02446682,0.08842335
0.3424273,0.03910672,0.1261045
0.6875246,0.002764439,0.01838426
0.4373724,0.01702964,0.069119
-0.4680099,0.03150605,0.1070517
0.3668838,0.02619531,0.09270486
0.5059401,0.02225318,0.08280688
0.6531431,0.0008346344,0.007403362
-0.7935505,1.06982e-05,0.0002671543
0.3556254,0.02657616,0.09371596
-0.4885779,0.002164512,0.01519067
-0.937765,0.0008416629,0.007444466
0.8389736,6.84457e-07,3.546628e-05
0.5553403,0.03185022,0.1076915
-0.5980729,0.01342837,0.05822708
0.6318772,0.00176215,0.01309086
-0.4590152,0.03900771,0.125916
-0.597977,0.00315353,0.02022241
0.4717535,0.0008476248,0.00747593
0.4322414,0.009868182,0.04673295
0.6528774,0.00843549,0.04153437
0.4494628,0.007060764,0.03646497
-0.7544711,0.002355915,0.01631301
0.4249296,0.008964914,0.04347436
-0.5936142,0.03163008,0.1072143
-1.120982,7.867524e-05,0.001229152
0.7593563,1.777115e-07,1.179722e-05
-0.4647738,0.008826729,0.04295779
-1.057607,5.246272e-07,2.912618e-05
-0.6575508,5.591539e-05,0.0009499505
-0.5479576,0.0373286,0.1213326
0.5187111,0.03924079,0.1262936
0.4440594,0.004116449,0.0242847
0.4379646,0.01817852,0.07204209
-0.7654093,0.0006742952,0.006350786
0.5040404,0.004476062,0.02569913
0.4437993,0.02170602,0.08138728
0.4379687,0.01514511,0.06328781
-0.7032768,0.01188275,0.05346378
-0.8346714,0.0001575917,0.002139531
0.3902305,0.008720227,0.04259417
-0.5433364,0.01020821,0.04790538
-0.5158991,0.005827681,0.03150762
-0.5931791,0.02409644,0.08756964
