log2FoldChange,pvalue,padj
0.9349345,3.162883e-05,0.0008580996
0.5085004,0.01764215,0.08720891
-0.3695701,0.0219304,0.0997975
0.3504982,0.00901928,0.0546
0.9417059,2.966649e-05,0.0008188958
0.8352543,0.004727345,0.03465753
0.8827362,2.18617e-05,0.0006340954
-0.7668604,0.001005265,0.01159548
0.6363166,0.0002028509,0.003574362
-0.4323747,0.0194154,0.09243587
0.5618064,0.003181837,0.02629527
-0.5384504,0.0007382645,0.009260126
0.3837352,0.04165791,0.1522223
-0.675974,7.434944e-06,0.0002811632
0.6804285,0.01225905,0.06757178
0.6893245,0.01269576,0.06921272
0.4690853,0.0278473,0.117257
-0.3102231,0.006245849,0.04146549
0.4977542,0.01561629,0.08029891
-0.5473034,0.03268848,0.1293468
-0.4380134,0.004889382,0.03528268
-0.3906109,0.02988754,0.1227341
0.5251576,0.03685273,0.1398301
-0.6500227,0.01586926,0.0811805
-0.6143247,0.002252513,0.02077407
-0.3069869,0.04452594,0.1591163
0.8473679,0.003447041,0.02771204
0.4220051,0.01093167,0.06262388
0.7968188,0.006449232,0.0424385
-0.9423383,0.0001343181,0.002597252
0.5481597,0.03191561,0.1275557
0.3649231,0.04337991,0.1563137
0.9184689,0.0005233486,0.007387482
-0.4889454,0.04762417,0.1668941
0.4765247,0.01193619,0.06646667
0.5025182,0.02071467,0.09639419
-0.539659,0.02137789,0.09818054
0.4271679,0.04703336,0.1659014
-2.536806,9.120244999999998e-19,1.816449e-15
0.4115274,0.03391003,0.1321673
0.8964522,0.003394259,0.0275553
-0.647582,0.002013384,0.01903476
-0.6435286,0.006921589,0.04466144
-0.8122373,0.004972155,0.03560395
-0.512097,0.03252151,0.1288568
-0.4884641,0.000831594,0.01022381
-0.6892975,0.01273317,0.06929023
-0.5085626,0.01035777,0.0603782
0.7893324,0.006542973,0.04286652
-0.5336886,0.02963174,0.1221259
0.8070398,0.00125039,0.01363336
0.4141226,0.04709102,0.1659014
-0.5025941,0.0082668,0.05118563
-0.4941992,0.02603938,0.1118514
0.3912198,0.03938337,
-0.593789,0.001834695,0.01781267
-0.458477,0.009144088,0.0551878
-0.9931419,0.0003399497,0.005489728
-0.5868468,0.01662057,0.08380413
0.53374,0.03457828,0.1337251
0.8772265,0.003280866,0.0268905
0.7064291,0.009950342,0.05886465
-1.298035,3.169068e-06,0.0001352513
0.5478663,0.0321526,0.12816
0.5923859,0.0004427206,0.006596648
-0.5198786,0.01350121,
0.6212817,0.01187998,0.06627722
-0.4038207,0.04167109,0.1522223
0.6344318,0.0004399335,0.006571507
0.571513,0.0005944904,0.00800018
0.5625566,0.01039657,0.06048636
-0.343979,0.01881335,0.09086774
-0.9908148,0.001815244,0.01766463
0.6268268,0.01063121,0.0615518
0.7928081,7.495447e-05,0.001664881
0.5925288,0.02387851,0.1058413
0.6954224,0.01073133,0.06189159
-0.3696394,0.02339175,0.1042495
-0.5158627,0.0354765,0.136054
0.9861539,0.000393447,0.006145837
0.497594,0.004319007,0.0326659
0.4497217,0.02612846,0.1121534
0.6819984,0.007078478,0.04547732
-0.7928192,0.004784309,0.03492954
0.4623896,0.04886877,0.1699598
-0.8389787,3.130369e-06,0.0001345608
0.5354628,0.03196063,0.1276502
-0.4799792,0.0224216,0.1014917
0.5959253,0.01396828,0.07412118
0.7765383,0.003719378,0.02927969
0.8878134,0.0009343343,0.01098946
-0.4512638,0.01866522,0.09067048
0.5013983,0.005835488,0.03962164
0.9191888,0.0006368244,0.008434051
-0.6017016,0.006331825,0.04185028
-0.6416705,0.0005077592,0.00722348
-0.546617,0.001063431,0.01198412
0.5131667,0.00663145,0.04316221
-0.6361765,0.009487787,0.05680314
0.8184748,0.003129091,0.02600322
0.4528293,0.02765977,0.1167382
0.6223775,0.01925462,0.09196349
-0.323903,0.007308469,0.04655448
-0.6917538,0.0009287637,0.01094549
0.5716928,0.01267199,0.0691873
-0.3162993,0.03804952,0.1427156
-0.7687007,7.08252e-07,4.265675e-05
-0.4838176,4.31075e-05,0.001082216
-0.3390857,0.03174258,0.1272045
-0.602596,0.02036886,0.09559128
-0.5162026,9.445859e-05,0.001988235
0.7683319,0.002069369,0.01944101
-0.7015945,0.01168823,0.06552376
-0.7091035,0.0005682294,0.007768088
0.350629,0.03342042,0.1313731
0.5557928,0.0302937,0.1238229
0.569342,0.001581718,0.01610011
0.9175837,0.001253947,0.01364723
-0.2771297,0.0407696,0.1501839
0.4267446,0.0276655,0.1167382
0.5034925,0.03570084,0.1365637
-0.4482776,0.00399794,0.03082283
0.9898941,2.890057e-05,0.000803167
0.6291501,0.01431573,0.07523
-0.3567621,0.01295878,0.07019829
-0.7824667,0.003577718,0.02842668
-0.5740741,0.02249818,0.1017613
0.6860726,0.003613822,
0.8798667,6.157372e-07,3.955946e-05
-0.5231633,0.00645694,0.04244248
-0.4189956,0.004646858,0.03419332
-0.6609684,0.01546507,0.07978636
-0.436782,0.04706901,0.1659014
0.9112456,0.001321953,0.01421669
0.8970803,0.0004587404,0.006750947
-0.2711439,0.03228536,0.1284321
0.7167754,0.005671329,0.03882522
-2.382503,6.783317e-07,4.221908e-05
-1.059428,0.0006247618,0.008295448
0.3980237,0.04959236,0.1713745
-0.8179332,0.002957789,0.02499859
-0.9184124,0.002865238,0.02452693
0.4699072,0.001921785,0.01840171
-0.3545712,0.0338541,0.1321673
0.555636,0.01904067,0.09122799
0.83581,0.002949545,0.02499792
0.7823301,0.003548739,0.02830937
0.5785704,0.02295107,0.1031073
0.6514973,0.0005776938,0.007862688
0.3890755,0.02443242,0.1071909
-0.7925732,0.0006444165,0.008481032
-0.488512,0.0334903,0.1315612
0.7593435,9.372644e-06,0.0003285428
-0.3301975,0.04253004,0.154094
0.3900114,0.02901846,0.1209103
-0.3337136,0.03710241,0.1403697
0.4792385,0.01969108,0.09329022
-0.4398527,0.02075047,0.09648565
0.5660685,0.01502581,0.07786576
0.5498999,0.02977292,0.122516
-0.4985385,0.01644644,0.08320703
0.9005646,0.0008095817,0.00999432
-1.0089,0.0001904974,0.00342838
0.6425595,0.006257818,0.04149885
0.4184781,0.002459274,0.02203023
-0.8793686,0.002346402,0.0214042
-0.8517415,0.001175387,0.01305379
0.4218385,0.0444137,0.1588102
-0.4965292,0.007448059,0.04719855
-0.4657834,0.003852361,0.03004827
0.4953594,0.01818939,0.08916856
-1.191523,1.531459e-07,1.158287e-05
0.8516715,0.003588414,0.02847381
-1.069343,0.0002366759,0.004028884
0.3476168,0.03446377,0.1335618
0.7710136,0.006874247,0.04459677
0.6404461,0.0008963722,0.01071516
0.9403287,0.002573952,0.02271694
0.548148,0.00576394,0.03926972
0.7481745,0.005221936,0.03672953
-0.4691263,0.03638312,0.1384644
-0.7170224,6.365696e-07,4.003688e-05
0.6478582,0.0157016,0.08052967
-0.6703216,4.004866e-05,0.001026999
-0.4086295,0.04969738,0.1713745
-0.4684277,0.03835706,0.1435087
0.6925606,0.003190259,0.02632845
-0.3426324,0.0231554,0.1037133
-0.4558885,0.002846004,0.02443229
0.6016631,0.004014399,0.03084701
-0.8486497,0.002051851,0.01932727
0.6012847,0.004738312,0.03469536
0.6189596,0.002301945,0.02106298
-0.3836984,0.004807389,0.03496969
-0.7376093,0.008846313,0.05377083
0.3462487,0.0424651,0.1539618
0.901366,0.002823641,0.02431016
-1.117165,0.0008437656,0.01030981
0.862139,0.002958599,0.02499859
0.5468462,0.03241999,0.1287962
-0.361268,0.009321975,0.05603501
-0.5184212,0.0007294399,0.009233905
0.4148332,0.04107909,0.1505813
0.7293131,0.005019121,0.03578669
0.5991119,0.007271822,0.04642002
-0.3858445,0.01523212,0.07879819
-0.5682781,0.01033596,0.06031455
-0.6980759,2.642201e-06,0.0001214396
-0.3357601,0.04778265,0.1671554
0.5496969,0.003598613,0.02847909
-2.525678,4.809171e-09,6.68251e-07
-1.294324,0.0002799279,0.004620357
-3.617094,5.679692e-14,3.770685e-11
-1.131698,3.173891e-05,0.0008580996
-0.3985962,0.008995842,0.05451334
0.5518665,0.0092524,0.0556728
-0.5073245,0.02781819,0.117224
-0.6816098,0.001064321,0.01198412
-0.5351381,0.03425332,0.1329203
0.4935684,0.01197605,0.0665811
-0.6515505,0.0157745,0.08083416
0.7599023,0.002767169,0.02399685
-0.5543377,0.02179827,0.09942341
0.2863234,0.04491107,0.1601096
-0.3974751,0.03881302,0.1448518
0.5897466,0.02465983,0.1077853
-0.5265142,0.03456965,0.1337251
0.5309936,0.02283646,0.1029019
0.4349994,0.00799881,0.04999256
0.4456798,0.04194569,0.1526343
-0.4474371,0.01701532,0.08521922
0.4662913,0.04228391,0.1535995
0.8190529,0.003101749,0.02581579
0.3392943,0.04202844,0.1528423
0.4576403,0.03248696,0.1288568
0.9277963,4.318913e-07,2.83577e-05
0.8180827,0.00381588,0.0299211
-0.4883653,0.002186634,0.02031903
0.4361601,0.03534607,0.135728
-0.4370432,0.01991371,0.09398455
0.548493,0.00593078,0.03995086
-0.3681736,0.048351,0.1687484
-0.5214623,0.004153174,0.03165206
-0.8933815,7.454262e-05,0.001661911
-0.7295484,4.458427e-05,0.001109963
-1.638067,3.802168e-07,2.524217e-05
0.3756293,0.0358913,0.1370291
-0.9149469,0.001944384,0.01852902
0.58241,0.005278067,0.03688125
-0.5291473,0.03318379,0.130787
0.597097,0.01894234,0.09096247
0.7148964,0.004445928,0.03324708
0.5578876,0.007937203,0.04981595
-0.3181439,0.02475987,0.1081434
0.3824787,0.04970576,0.1713745
0.586071,0.002100916,0.01964471
0.4989989,0.02040816,0.09563824
-0.3660651,0.03930208,
0.6463559,0.003412414,0.02761848
0.7754204,0.007038153,0.04526692
0.787629,0.00575833,0.03926972
0.4091516,0.02438237,0.1071211
-0.5003845,0.03543232,0.1359718
0.496644,0.04055181,0.1494738
-0.9017339,0.001065032,0.01198412
0.9361804,0.000792904,0.009829049
-0.5302043,0.002709942,0.02367238
-0.3596798,0.01202011,0.0667202
-0.9560346,1.005706e-05,0.0003433769
-0.8866575,0.003088944,0.02577715
-0.3911132,0.03296368,0.1300911
0.74485,0.0001860187,0.003398965
-0.6684533,0.01300272,0.07024527
0.5726711,0.02182438,0.09946657
0.6921234,0.01044668,0.06071881
0.8668592,0.0006417153,0.008464126
-0.3374694,0.03075886,0.12479
-0.6808382,0.000939881,0.01101135
-1.334695,9.306678e-07,5.196953e-05
-0.6447291,0.0005596082,0.007721668
-0.2684079,0.03338797,0.1313319
0.7413805,0.0004604339,0.006750947
-0.6826919,0.007981593,0.04998954
-0.5383707,0.03446901,0.1335618
-0.4637222,0.004802306,0.03496969
0.4701509,0.02413955,0.1063671
-0.5005092,0.02118388,0.09774029
-0.4535048,0.001480881,0.01549608
0.5878257,0.01363913,0.07286455
-0.4219924,0.03978177,0.1474547
0.8521683,0.0006702891,0.008687586
0.549266,0.01290278,0.07002191
-0.3326543,0.02286255,0.1029418
-0.7241801,0.009986643,0.05896264
-0.8716723,0.0006851525,0.008784948
0.7394254,0.0002153263,0.003750946
-1.793233,2.191227e-10,5.999325e-08
0.6294895,0.005284538,0.03688125
-0.6430688,0.005013478,0.03578669
-0.6813141,0.0008984592,0.01071516
0.9921369,0.0007338329,0.009260126
0.5597215,0.01487195,0.07721675
